Serial Number:20799874 --

"Date Time, GMT -0400","Temp, (*F)","Button Down","Button Up","Host Connect","EOF"
2021-04-23 13:40:04,67.28, , , , 
2021-04-23 13:55:04,60.95, , , , 
2021-04-23 14:10:04,59.87, , , , 
2021-04-23 14:25:04,60.34, , , , 
2021-04-23 14:40:04,61.65, , , , 
2021-04-23 14:55:04,62.73, , , , 
2021-04-23 15:10:04,63.35, , , , 
2021-04-23 15:25:04,63.89, , , , 
2021-04-23 15:40:04,66.74, , , , 
2021-04-23 15:55:04,69.14, , , , 
2021-04-23 16:10:04,71.07, , , , 
2021-04-23 16:25:04,71.84, , , , 
2021-04-23 16:40:04,72.38, , , , 
2021-04-23 16:55:04,72.92, , , , 
2021-04-23 17:10:04,72.46, , , , 
2021-04-23 17:25:04,72.15, , , , 
2021-04-23 17:40:04,71.92, , , , 
2021-04-23 17:55:04,71.69, , , , 
2021-04-23 18:10:04,71.45, , , , 
2021-04-23 18:25:04,70.99, , , , 
2021-04-23 18:40:04,70.61, , , , 
2021-04-23 18:55:04,70.22, , , , 
2021-04-23 19:10:04,69.52, , , , 
2021-04-23 19:25:04,69.06, , , , 
2021-04-23 19:40:04,68.44, , , , 
2021-04-23 19:55:04,67.75, , , , 
2021-04-23 20:10:04,67.05, , , , 
2021-04-23 20:25:04,66.44, , , , 
2021-04-23 20:40:04,65.66, , , , 
2021-04-23 20:55:04,65.05, , , , 
2021-04-23 21:10:04,64.35, , , , 
2021-04-23 21:25:04,63.81, , , , 
2021-04-23 21:40:04,63.11, , , , 
2021-04-23 21:55:04,62.50, , , , 
2021-04-23 22:10:04,61.88, , , , 
2021-04-23 22:25:04,61.26, , , , 
2021-04-23 22:40:04,60.72, , , , 
2021-04-23 22:55:04,60.10, , , , 
2021-04-23 23:10:04,59.56, , , , 
2021-04-23 23:25:04,58.95, , , , 
2021-04-23 23:40:04,58.48, , , , 
2021-04-23 23:55:04,58.02, , , , 
2021-04-24 00:10:04,57.40, , , , 
2021-04-24 00:25:04,56.86, , , , 
2021-04-24 00:40:04,56.40, , , , 
2021-04-24 00:55:04,55.86, , , , 
2021-04-24 01:10:04,55.47, , , , 
2021-04-24 01:25:04,55.08, , , , 
2021-04-24 01:40:04,54.62, , , , 
2021-04-24 01:55:04,54.23, , , , 
2021-04-24 02:10:04,53.93, , , , 
2021-04-24 02:25:04,53.46, , , , 
2021-04-24 02:40:04,53.15, , , , 
2021-04-24 02:55:04,52.77, , , , 
2021-04-24 03:10:04,52.54, , , , 
2021-04-24 03:25:04,52.07, , , , 
2021-04-24 03:40:04,51.84, , , , 
2021-04-24 03:55:04,51.53, , , , 
2021-04-24 04:10:04,51.30, , , , 
2021-04-24 04:25:04,51.15, , , , 
2021-04-24 04:40:04,50.91, , , , 
2021-04-24 04:55:04,50.68, , , , 
2021-04-24 05:10:04,50.37, , , , 
2021-04-24 05:25:04,50.14, , , , 
2021-04-24 05:40:04,49.83, , , , 
2021-04-24 05:55:04,49.76, , , , 
2021-04-24 06:10:04,49.52, , , , 
2021-04-24 06:25:04,49.45, , , , 
2021-04-24 06:40:04,49.29, , , , 
2021-04-24 06:55:04,49.37, , , , 
2021-04-24 07:10:04,49.52, , , , 
2021-04-24 07:25:04,49.76, , , , 
2021-04-24 07:40:04,49.83, , , , 
2021-04-24 07:55:04,50.06, , , , 
2021-04-24 08:10:04,50.30, , , , 
2021-04-24 08:25:04,50.68, , , , 
2021-04-24 08:40:04,51.07, , , , 
2021-04-24 08:55:04,51.76, , , , 
2021-04-24 09:10:04,54.00, , , , 
2021-04-24 09:25:04,55.16, , , , 
2021-04-24 09:40:04,62.42, , , , 
2021-04-24 09:55:04,67.28, , , , 
2021-04-24 10:10:04,57.56, , , , 
2021-04-24 10:25:04,54.47, , , , 
2021-04-24 10:40:04,74.16, , , , 
2021-04-24 10:55:04,94.00, , , , 
2021-04-24 11:10:04,99.64, , , , 
2021-04-24 11:25:04,96.55, , , , 
2021-04-24 11:40:04,95.93, , , , 
2021-04-24 11:55:04,78.87, , , , 
2021-04-24 12:10:04,72.46, , , , 
2021-04-24 12:25:04,73.31, , , , 
2021-04-24 12:40:04,71.53, , , , 
2021-04-24 12:55:04,69.52, , , , 
2021-04-24 13:10:04,68.06, , , , 
2021-04-24 13:25:04,66.90, , , , 
2021-04-24 13:40:04,65.97, , , , 
2021-04-24 13:55:04,65.05, , , , 
2021-04-24 14:10:04,64.43, , , , 
2021-04-24 14:25:04,63.73, , , , 
2021-04-24 14:40:04,62.96, , , , 
2021-04-24 14:55:04,62.50, , , , 
2021-04-24 15:10:04,61.88, , , , 
2021-04-24 15:25:04,61.42, , , , 
2021-04-24 15:40:04,60.95, , , , 
2021-04-24 15:55:04,60.49, , , , 
2021-04-24 16:10:04,60.18, , , , 
2021-04-24 16:25:04,59.79, , , , 
2021-04-24 16:40:04,59.56, , , , 
2021-04-24 16:55:04,59.25, , , , 
2021-04-24 17:10:04,58.87, , , , 
2021-04-24 17:25:04,58.71, , , , 
2021-04-24 17:40:04,58.56, , , , 
2021-04-24 17:55:04,58.33, , , , 
2021-04-24 18:10:04,58.10, , , , 
2021-04-24 18:25:04,57.94, , , , 
2021-04-24 18:40:04,57.79, , , , 
2021-04-24 18:55:04,57.63, , , , 
2021-04-24 19:10:04,57.56, , , , 
2021-04-24 19:25:04,57.32, , , , 
2021-04-24 19:40:04,57.25, , , , 
2021-04-24 19:55:04,57.17, , , , 
2021-04-24 20:10:04,57.01, , , , 
2021-04-24 20:25:04,56.94, , , , 
2021-04-24 20:40:04,56.86, , , , 
2021-04-24 20:55:04,56.78, , , , 
2021-04-24 21:10:04,56.71, , , , 
2021-04-24 21:25:04,56.63, , , , 
2021-04-24 21:40:04,56.55, , , , 
2021-04-24 21:55:04,56.40, , , , 
2021-04-24 22:10:04,56.47, , , , 
2021-04-24 22:25:04,56.32, , , , 
2021-04-24 22:40:04,56.24, , , , 
2021-04-24 22:55:04,56.17, , , , 
2021-04-24 23:10:04,56.17, , , , 
2021-04-24 23:25:04,56.09, , , , 
2021-04-24 23:40:04,56.01, , , , 
2021-04-24 23:55:04,55.86, , , , 
2021-04-25 00:10:04,55.86, , , , 
2021-04-25 00:25:04,55.78, , , , 
2021-04-25 00:40:04,55.78, , , , 
2021-04-25 00:55:04,55.70, , , , 
2021-04-25 01:10:04,55.55, , , , 
2021-04-25 01:25:04,55.47, , , , 
2021-04-25 01:40:04,55.39, , , , 
2021-04-25 01:55:04,55.39, , , , 
2021-04-25 02:10:04,55.32, , , , 
2021-04-25 02:25:04,55.39, , , , 
2021-04-25 02:40:04,55.24, , , , 
2021-04-25 02:55:04,55.08, , , , 
2021-04-25 03:10:04,55.01, , , , 
2021-04-25 03:25:04,55.01, , , , 
2021-04-25 03:40:04,55.01, , , , 
2021-04-25 03:55:04,54.93, , , , 
2021-04-25 04:10:04,54.78, , , , 
2021-04-25 04:25:04,54.78, , , , 
2021-04-25 04:40:04,54.70, , , , 
2021-04-25 04:55:04,54.62, , , , 
2021-04-25 05:10:04,54.54, , , , 
2021-04-25 05:25:04,54.47, , , , 
2021-04-25 05:40:04,54.47, , , , 
2021-04-25 05:55:04,54.47, , , , 
2021-04-25 06:10:04,54.31, , , , 
2021-04-25 06:25:04,54.31, , , , 
2021-04-25 06:40:04,54.16, , , , 
2021-04-25 06:55:04,54.16, , , , 
2021-04-25 07:10:04,54.08, , , , 
2021-04-25 07:25:04,54.00, , , , 
2021-04-25 07:40:04,54.00, , , , 
2021-04-25 07:55:04,54.00, , , , 
2021-04-25 08:10:04,53.93, , , , 
2021-04-25 08:25:04,53.93, , , , 
2021-04-25 08:40:04,53.85, , , , 
2021-04-25 08:55:04,53.85, , , , 
2021-04-25 09:10:04,53.77, , , , 
2021-04-25 09:25:04,53.77, , , , 
2021-04-25 09:40:04,53.69, , , , 
2021-04-25 09:55:04,53.62, , , , 
2021-04-25 10:10:04,53.62, , , , 
2021-04-25 10:25:04,53.69, , , , 
2021-04-25 10:40:04,53.62, , , , 
2021-04-25 10:55:04,53.62, , , , 
2021-04-25 11:10:04,53.62, , , , 
2021-04-25 11:25:04,53.54, , , , 
2021-04-25 11:40:04,53.54, , , , 
2021-04-25 11:55:04,53.46, , , , 
2021-04-25 12:10:04,53.54, , , , 
2021-04-25 12:25:04,53.46, , , , 
2021-04-25 12:40:04,53.46, , , , 
2021-04-25 12:55:04,53.54, , , , 
2021-04-25 13:10:04,53.39, , , , 
2021-04-25 13:25:04,53.46, , , , 
2021-04-25 13:40:04,53.46, , , , 
2021-04-25 13:55:04,53.46, , , , 
2021-04-25 14:10:04,53.46, , , , 
2021-04-25 14:25:04,53.54, , , , 
2021-04-25 14:40:04,53.54, , , , 
2021-04-25 14:55:04,53.54, , , , 
2021-04-25 15:10:04,53.54, , , , 
2021-04-25 15:25:04,53.62, , , , 
2021-04-25 15:40:04,53.62, , , , 
2021-04-25 15:55:04,53.62, , , , 
2021-04-25 16:10:04,53.62, , , , 
2021-04-25 16:25:04,53.62, , , , 
2021-04-25 16:40:04,53.62, , , , 
2021-04-25 16:55:04,53.62, , , , 
2021-04-25 17:10:04,53.69, , , , 
2021-04-25 17:25:04,53.69, , , , 
2021-04-25 17:40:04,53.62, , , , 
2021-04-25 17:55:04,53.69, , , , 
2021-04-25 18:10:04,53.62, , , , 
2021-04-25 18:25:04,53.69, , , , 
2021-04-25 18:40:04,53.69, , , , 
2021-04-25 18:55:04,53.69, , , , 
2021-04-25 19:10:04,53.62, , , , 
2021-04-25 19:25:04,53.69, , , , 
2021-04-25 19:40:04,53.62, , , , 
2021-04-25 19:55:04,53.62, , , , 
2021-04-25 20:10:04,53.54, , , , 
2021-04-25 20:25:04,53.54, , , , 
2021-04-25 20:40:04,53.46, , , , 
2021-04-25 20:55:04,53.39, , , , 
2021-04-25 21:10:04,53.31, , , , 
2021-04-25 21:25:04,53.31, , , , 
2021-04-25 21:40:04,53.23, , , , 
2021-04-25 21:55:04,53.23, , , , 
2021-04-25 22:10:04,53.23, , , , 
2021-04-25 22:25:04,53.23, , , , 
2021-04-25 22:40:04,53.08, , , , 
2021-04-25 22:55:04,53.08, , , , 
2021-04-25 23:10:04,53.00, , , , 
2021-04-25 23:25:04,52.84, , , , 
2021-04-25 23:40:04,52.84, , , , 
2021-04-25 23:55:04,52.77, , , , 
2021-04-26 00:10:04,52.77, , , , 
2021-04-26 00:25:04,52.61, , , , 
2021-04-26 00:40:04,52.69, , , , 
2021-04-26 00:55:04,52.54, , , , 
2021-04-26 01:10:04,52.54, , , , 
2021-04-26 01:25:04,52.46, , , , 
2021-04-26 01:40:04,52.30, , , , 
2021-04-26 01:55:04,52.30, , , , 
2021-04-26 02:10:04,52.23, , , , 
2021-04-26 02:25:04,52.15, , , , 
2021-04-26 02:40:04,52.15, , , , 
2021-04-26 02:55:04,52.00, , , , 
2021-04-26 03:10:04,52.00, , , , 
2021-04-26 03:25:04,51.84, , , , 
2021-04-26 03:40:04,51.76, , , , 
2021-04-26 03:55:04,51.76, , , , 
2021-04-26 04:10:04,51.69, , , , 
2021-04-26 04:25:04,51.61, , , , 
2021-04-26 04:40:04,51.53, , , , 
2021-04-26 04:55:04,51.45, , , , 
2021-04-26 05:10:04,51.38, , , , 
2021-04-26 05:25:04,51.30, , , , 
2021-04-26 05:40:04,51.22, , , , 
2021-04-26 05:55:04,51.15, , , , 
2021-04-26 06:10:04,51.07, , , , 
2021-04-26 06:25:04,50.99, , , , 
2021-04-26 06:40:04,50.91, , , , 
2021-04-26 06:55:04,50.91, , , , 
2021-04-26 07:10:04,50.84, , , , 
2021-04-26 07:25:04,50.91, , , , 
2021-04-26 07:40:04,50.99, , , , 
2021-04-26 07:55:04,51.07, , , , 
2021-04-26 08:10:04,51.15, , , , 
2021-04-26 08:25:04,51.07, , , , 
2021-04-26 08:40:04,51.22, , , , 
2021-04-26 08:55:04,51.22, , , , 
2021-04-26 09:10:04,50.99, , , , 
2021-04-26 09:25:04,51.07, , , , 
2021-04-26 09:40:04,50.84, , , , 
2021-04-26 09:55:04,53.62, , , , 
2021-04-26 10:10:04,55.24, , , , 
2021-04-26 10:25:04,54.31, , , , 
2021-04-26 10:40:04,53.54, , , , 
2021-04-26 10:55:04,53.46, , , , 
2021-04-26 11:10:04,53.23, , , , 
2021-04-26 11:18:58, ,Logged, , , 
2021-04-26 11:18:59, , ,Logged, , 
2021-04-26 11:19:02, , , ,Logged, 
2021-04-26 11:19:53, , , ,Logged, 
2021-04-26 11:25:04,53.00, , , , 
2021-04-26 11:40:04,53.54, , , , 
2021-04-26 11:55:04,53.85, , , , 
2021-04-26 12:10:04,54.23, , , , 
2021-04-26 12:25:04,54.54, , , , 
2021-04-26 12:40:04,54.93, , , , 
2021-04-26 12:55:04,55.39, , , , 
2021-04-26 13:10:04,55.86, , , , 
2021-04-26 13:25:04,56.24, , , , 
2021-04-26 13:40:04,56.47, , , , 
2021-04-26 13:55:04,56.86, , , , 
2021-04-26 14:10:04,57.17, , , , 
2021-04-26 14:25:04,57.25, , , , 
2021-04-26 14:40:04,57.71, , , , 
